elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
2229;984;3;2;3;36;2;56;1;2;4;3;4;1;8;26;23;2;6;2;3;3;2;2;2;2;2;1;1;13;5;1;7;6;4;1;3;10;8;1;8;4;1;0;2;2;1;1;1;1;8;8;12;12;12;12;3;2;3;7;8;9;6;5;1;9;99;6;6;2;2;3;3;3;2;3;4;2;1;4;,598298411061412
2230;881;3;2;3;67;2;26;1;3;4;2;3;1;99;99;1;15;99;2;3;2;2;2;2;2;3;1;1;2;1;2;7;6;1;4;10;10;0;8;0;0;0;0;2;2;2;1;1;1;2;8;0;12;12;12;4;3;4;0;0;0;0;0;98;99;99;3;8;1;1;1;3;2;6;3;4;2;1;4;,704786608069506
2231;365;3;1;3;18;1;62;1;5;4;3;4;1;2;2;98;1;2;5;2;2;3;1;3;2;1;2;2;12;5;9;7;6;3;1;2;10;1;1;0;0;0;0;2;2;2;2;1;1;11;11;11;11;12;12;6;4;1;6;6;7;6;3;35;99;99;11;10;1;2;1;2;4;6;3;4;1;4;1;1,98362252182659
2232;367;3;2;3;30;2;52;1;3;4;2;3;8;2;1;8;2;99;2;2;2;3;3;3;3;4;2;3;14;5;1;7;6;10;4;1;10;7;2;5;0;0;0;2;1;2;1;1;1;5;12;4;12;12;12;4;3;3;5;4;4;3;4;99;99;99;4;7;2;2;1;5;3;7;3;4;2;1;4;,59467379483113
2233;340;3;2;3;45;2;31;6;2;4;2;3;8;99;99;9;99;99;2;2;3;2;4;2;1;4;1;2;10;5;3;7;6;2;3;5;10;4;0;5;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;1;3;7;4;6;6;7;99;99;99;4;5;3;3;1;5;3;6;3;4;2;2;4;,502820663271048
2234;336;3;2;3;18;2;43;1;1;4;1;2;1;25;99;35;6;99;1;1;3;3;1;2;1;2;1;1;12;5;1;7;6;10;1;2;5;7;7;6;6;0;0;2;2;2;1;1;1;6;7;6;12;12;12;2;2;2;8;7;8;6;7;9;6;99;5;9;3;3;1;5;2;1;3;4;2;1;4;,59467379483113
2235;359;3;2;3;80;2;45;1;1;3;3;2;7;2;1;23;6;99;3;2;3;1;2;2;2;3;1;1;2;2;2;6;7;10;5;4;10;5;7;5;6;0;0;2;2;2;1;2;1;6;6;6;12;6;12;3;2;1;6;6;7;5;5;6;99;99;3;7;3;2;2;3;2;6;3;4;2;2;4;,704786608069506
2236;250;3;2;3;51;1;53;1;3;4;2;2;10;5;30;99;99;99;2;2;3;2;1;3;3;1;1;1;2;2;2;7;6;1;5;10;10;0;7;3;6;0;0;2;2;2;2;2;2;0;7;2;0;4;0;4;3;1;4;3;4;0;1;4;98;99;1;9;1;1;2;2;2;7;2;4;1;2;4;,704786608069506
2237;340;3;2;3;30;1;32;2;2;3;2;2;10;99;99;5;2;99;2;2;2;4;2;3;3;4;3;2;1;1;9;7;6;2;3;10;10;9;5;6;5;4;5;1;1;1;1;1;1;12;12;12;12;12;12;3;3;3;6;5;6;6;5;5;99;99;5;5;3;1;3;3;1;7;7;1;1;2;4;1,99571296611699
2238;984;3;2;3;80;1;54;1;4;4;2;3;7;1;4;7;99;99;2;2;3;2;3;3;1;1;2;1;12;5;15;2;4;10;10;10;10;6;0;0;0;0;3;2;2;2;2;2;1;6;2;2;2;2;12;5;3;1;2;2;10;0;0;35;4;98;5;0;3;3;3;3;2;6;3;4;1;2;4;,598298411061412
2239;46;3;2;3;45;1;43;1;1;4;2;2;1;2;28;34;99;99;1;2;3;1;1;1;2;1;1;1;1;1;1;7;6;2;3;10;10;7;3;6;3;2;0;2;2;2;2;1;1;8;6;7;5;12;12;1;1;1;9;8;8;6;8;1;16;6;5;8;2;2;1;4;2;6;3;4;1;2;4;,59467379483113
2240;359;3;2;3;999;2;47;1;2;3;1;2;1;8;9;8;1;99;1;2;3;1;1;2;3;2;1;1;2;1;2;7;10;10;5;4;10;3;10;3;6;3;0;2;2;1;1;2;1;11;6;12;12;6;12;6;3;3;6;5;8;3;7;6;99;99;3;5;6;1;2;5;2;6;5;4;2;1;4;,704786608069506
2241;367;3;2;1;56;1;44;1;3;4;2;3;2;1;99;2;6;99;1;2;2;2;2;3;3;2;1;1;2;2;2;6;7;10;4;1;10;5;7;3;5;0;0;2;2;2;2;1;1;5;7;3;0;12;12;4;3;3;6;3;5;3;3;9;4;99;2;8;1;1;1;2;2;6;3;4;1;2;4;,704786608069506
2242;875;3;1;1;999;2;48;1;3;4;2;4;1;2;1;6;99;99;1;2;3;2;1;2;3;3;1;1;13;5;15;7;6;10;10;10;10;5;8;5;4;1;0;2;2;2;2;1;1;5;5;5;5;12;12;3;3;2;4;3;4;3;4;9;99;99;2;8;1;1;1;5;2;6;3;4;2;4;1;,704786608069506
2243;365;3;1;1;75;2;47;1;3;4;5;3;99;99;99;22;2;99;1;2;3;2;2;2;1;3;1;1;13;5;2;7;6;4;1;2;10;6;7;3;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;4;3;3;3;0;0;0;3;99;99;99;11;4;1;2;1;5;2;6;3;4;2;4;1;,704786608069506
2244;875;3;2;2;76;2;53;1;2;3;2;2;1;2;8;1;2;99;1;2;2;2;2;2;3;1;1;1;2;2;2;6;7;10;3;10;10;3;4;3;3;0;0;2;2;2;2;2;2;6;6;5;2;4;1;2;2;2;5;5;6;6;5;8;13;98;1;7;1;1;1;4;2;6;3;4;2;1;4;,704786608069506
2245;336;3;2;3;69;2;64;1;2;2;2;5;10;99;99;16;9;99;3;2;2;2;1;1;4;3;2;1;12;5;1;7;2;10;4;1;10;8;5;5;11;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;7;9;7;11;8;10;99;99;11;4;4;2;5;2;3;6;5;4;4;2;4;1,02639090634417
2246;357;3;1;3;69;2;60;1;3;4;3;3;1;2;99;99;99;99;2;2;3;3;2;3;2;4;3;4;14;5;9;8;8;8;8;8;8;0;0;0;0;0;0;2;2;2;2;1;1;11;11;11;11;12;12;4;4;2;5;3;3;3;3;99;99;99;5;5;3;3;4;4;2;2;3;4;2;4;1;3,4236788903746
2247;984;3;2;3;55;2;25;1;2;4;2;3;99;99;99;6;99;99;1;1;2;3;4;1;2;2;5;5;14;5;12;6;3;5;7;2;1;5;5;4;0;0;8;1;1;1;1;1;1;12;12;12;12;12;12;2;2;3;8;5;5;5;5;99;99;99;7;8;1;2;4;3;3;4;7;2;2;2;4;3,4236788903746
2248;46;3;2;3;69;1;29;1;2;3;2;2;1;7;9;1;99;99;2;2;3;2;2;2;3;3;1;1;5;2;5;7;6;1;9;9;9;2;6;6;8;0;0;2;2;2;2;1;1;3;5;3;1;12;12;3;3;3;3;1;3;2;2;6;8;99;3;8;3;3;1;5;2;7;3;4;1;2;4;,925138907772317
2249;367;3;2;3;72;2;26;1;3;4;3;3;5;2;7;10;7;7;2;2;3;1;2;2;2;3;1;1;12;5;14;6;10;10;1;10;10;5;4;3;11;0;2;2;1;1;1;1;1;5;12;12;12;12;12;3;3;1;5;4;6;0;5;99;99;99;5;5;3;2;1;5;3;7;3;4;2;1;4;,59467379483113
2250;250;3;2;3;51;1;53;1;3;4;2;2;2;17;99;99;99;99;2;2;3;1;1;2;3;1;1;1;12;5;14;7;6;1;4;5;2;0;4;5;6;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;3;1;5;0;5;0;0;99;99;99;3;11;6;2;4;2;3;8;3;4;1;2;4;1,21644264758818
2251;881;3;2;2;80;1;53;2;2;3;2;2;16;1;99;2;2;99;3;3;3;2;2;2;3;3;3;4;14;5;14;7;6;5;1;2;10;7;7;4;4;0;0;2;2;2;2;1;1;5;5;2;0;12;12;3;2;2;6;5;5;3;5;8;6;99;4;10;1;1;1;2;3;7;3;4;1;2;4;1,98362252182659
2252;357;3;1;3;69;1;73;5;3;4;3;4;7;1;8;99;99;99;2;2;3;3;3;2;3;2;1;1;6;1;6;2;4;5;8;8;8;2;0;2;1;11;1;2;2;2;2;1;1;3;2;3;9;12;12;3;3;3;3;3;3;2;2;35;99;99;6;4;3;3;2;4;2;2;3;4;1;4;1;,666759262429146
2253;46;3;2;3;80;1;58;1;3;4;2;3;1;2;99;2;8;14;2;2;3;3;1;3;4;4;1;1;12;5;2;6;3;7;2;10;10;5;5;5;11;0;0;1;1;1;1;1;1;12;12;12;12;12;12;4;3;2;3;3;3;3;3;98;99;99;2;4;3;3;3;2;2;7;3;4;1;1;4;,709082376607986
2254;250;3;2;1;19;1;59;1;2;3;2;2;4;18;98;99;99;99;1;2;3;1;2;3;1;3;1;1;12;5;2;6;7;4;1;2;10;5;6;2;0;0;0;2;2;2;2;1;2;5;5;0;0;12;0;4;3;3;5;5;5;2;3;6;99;99;5;10;1;2;1;3;2;8;3;4;1;2;4;,704786608069506
2255;911;3;2;3;69;1;51;2;2;4;3;4;30;5;1;2;5;15;3;3;2;2;2;2;3;3;2;1;1;2;9;7;4;10;8;8;8;8;2;2;2;2;0;2;2;2;1;1;1;8;11;5;12;12;12;2;1;1;9;9;8;8;9;8;9;5;6;7;2;2;2;5;2;1;2;4;1;2;4;1,98362252182659
2256;706;3;2;3;32;1;72;5;4;4;2;3;99;99;99;99;99;99;2;3;2;2;1;3;2;4;2;2;1;3;1;2;10;10;8;8;8;2;0;0;0;3;1;2;1;1;1;1;1;5;12;12;12;12;12;4;3;3;5;5;5;5;5;99;99;99;5;5;5;3;5;4;2;1;5;4;1;1;4;1,02639090634417
2257;647;3;1;3;69;2;84;5;2;3;2;2;10;99;99;99;99;99;2;2;2;1;2;1;1;2;1;2;2;2;2;6;5;7;9;9;9;6;10;4;2;0;0;2;2;2;2;1;2;8;9;3;3;12;4;2;2;2;6;7;9;8;7;99;99;99;2;6;2;1;1;2;3;2;5;4;2;4;1;,704786608069506
2258;650;3;2;3;999;1;30;1;3;4;2;3;1;5;6;7;6;99;2;2;3;1;3;2;3;2;1;1;1;1;1;8;8;8;8;8;8;7;4;0;0;0;0;2;2;2;2;1;1;7;5;5;4;12;12;2;2;2;7;7;6;4;7;4;5;99;6;6;2;2;1;4;2;7;3;4;1;2;4;,59467379483113
2259;190;3;2;1;69;2;44;1;3;3;3;3;1;31;13;1;13;31;2;2;3;2;2;3;3;1;1;1;4;1;4;7;6;1;2;5;10;1;6;2;3;0;0;2;2;2;2;2;2;1;4;2;1;5;0;5;3;4;0;2;2;0;0;98;35;99;0;0;3;3;1;2;3;6;3;4;1;2;4;,38052484318564
2260;647;3;1;2;71;1;69;5;2;4;2;2;25;15;18;31;10;99;2;2;3;2;2;2;2;2;1;1;2;2;2;6;7;4;1;10;10;6;8;4;4;1;0;2;2;2;2;1;2;6;7;4;1;12;0;3;1;2;7;8;5;6;5;6;10;9;4;9;2;1;1;5;2;2;3;4;1;4;1;,704786608069506
2261;356;3;2;1;40;1;33;1;3;4;3;4;99;99;99;99;99;99;2;2;3;2;2;5;1;3;1;1;1;3;2;7;5;4;2;10;10;8;8;4;2;4;0;2;1;2;1;1;1;7;12;7;12;12;12;3;3;3;6;6;6;5;6;2;10;13;7;8;2;2;1;5;2;6;3;4;1;2;4;,704786608069506
2262;911;3;1;3;77;1;74;5;5;5;2;3;8;99;99;26;99;99;2;2;3;3;2;2;1;4;1;1;13;5;15;4;2;10;10;10;10;11;11;11;11;11;11;2;1;1;1;1;1;11;12;12;12;12;12;3;3;1;7;3;3;2;7;99;99;99;5;0;4;3;4;4;2;1;3;4;1;4;1;1,02639090634417
2263;109;3;2;3;55;2;80;5;2;2;2;2;99;99;99;99;99;99;2;2;3;2;2;1;2;3;1;1;3;2;3;8;8;8;8;8;8;10;10;10;3;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;8;3;8;8;7;1;99;99;0;0;5;1;3;2;3;4;5;4;2;2;4;,505885422392527
2264;650;3;2;3;30;2;35;3;2;3;1;2;4;5;2;2;99;99;4;2;2;2;4;2;2;4;3;1;12;5;15;3;7;6;8;8;8;5;4;0;3;0;0;2;2;2;1;1;1;5;4;0;12;12;12;3;2;3;5;2;0;4;0;6;2;99;6;0;5;2;3;5;3;2;5;4;2;2;4;1,99571296611699
2265;706;3;2;3;45;1;88;5;2;4;2;2;99;99;99;99;99;99;1;2;3;2;1;2;2;3;1;1;1;1;1;7;6;2;3;10;10;8;0;7;5;2;0;1;1;1;1;1;1;12;12;12;12;12;12;2;1;2;9;8;8;7;9;99;99;99;5;8;3;3;1;2;3;1;4;4;1;1;4;,59467379483113
2266;337;3;2;1;999;1;63;6;2;4;3;3;1;8;2;31;6;2;2;3;3;4;2;2;3;2;1;2;13;5;15;7;6;10;10;10;10;11;11;11;11;11;11;2;2;2;2;2;1;11;11;2;0;11;12;6;4;2;7;6;5;5;5;1;8;6;3;7;1;1;1;5;3;7;3;4;1;2;4;,704786608069506
2267;148;3;2;3;69;2;49;1;3;4;4;4;2;5;8;1;1;6;3;4;2;2;3;3;4;2;1;1;7;2;2;2;3;10;4;10;10;5;5;8;6;7;9;2;1;2;2;2;1;5;12;5;5;5;12;4;3;3;3;2;5;0;0;98;99;99;5;0;6;2;4;3;3;6;3;4;2;2;4;1,21644264758818
2268;109;3;2;3;45;1;67;5;2;4;2;2;8;1;7;7;99;99;1;1;3;2;2;2;3;2;1;1;1;1;1;7;6;4;3;10;10;10;1;3;1;1;0;2;2;2;2;2;2;7;3;5;1;1;0;2;2;1;9;9;9;7;7;8;1;7;5;7;2;2;3;3;2;2;5;4;1;1;4;,598298411061412
2269;16;3;1;1;17;1;61;1;2;4;2;2;2;2;8;31;2;28;1;1;3;2;1;2;2;1;1;1;1;3;1;6;7;10;2;4;10;6;6;1;6;0;0;2;2;2;2;1;1;7;7;4;0;12;12;2;3;1;7;5;5;4;5;6;4;99;2;8;1;1;1;2;2;6;3;4;1;4;1;,59467379483113
2270;190;3;2;3;69;1;68;5;2;3;2;2;1;26;99;1;99;99;2;2;3;2;2;2;3;2;1;1;3;2;3;7;6;1;5;2;4;4;3;6;5;1;0;2;2;2;2;2;2;5;4;6;2;3;0;3;2;2;5;4;5;4;3;6;6;1;4;4;3;3;3;5;2;7;3;4;1;1;4;,505885422392527
2271;650;3;1;1;75;2;73;5;2;3;2;2;99;99;99;2;99;99;5;2;2;2;2;2;2;1;1;1;1;2;1;7;6;10;4;10;10;8;6;6;3;4;3;2;2;2;2;1;1;7;5;6;4;12;12;2;2;1;8;8;8;7;8;1;99;99;6;9;1;2;1;2;3;2;3;4;2;4;1;,59467379483113
2272;647;3;2;3;19;1;74;5;2;3;2;2;1;2;6;99;99;99;2;2;3;3;2;2;3;3;2;6;12;5;9;7;6;10;1;5;3;5;4;4;5;0;0;2;1;1;2;1;1;11;12;12;5;12;12;3;2;2;7;5;8;5;5;99;99;99;5;5;3;2;4;2;3;2;5;4;1;2;4;3,4236788903746
2273;356;3;2;3;30;2;50;3;2;3;2;3;2;10;6;2;6;99;1;2;3;2;2;1;2;4;2;1;12;5;9;4;2;5;1;7;10;7;5;0;0;0;7;1;1;1;1;1;1;12;12;12;12;12;12;2;2;1;8;2;7;5;8;9;99;99;5;7;3;3;5;3;2;2;3;4;2;2;4;3,4236788903746
2274;911;3;1;3;69;1;57;1;3;4;3;4;6;98;4;6;99;99;2;2;3;3;2;3;1;3;1;1;12;5;6;2;1;10;6;10;10;4;3;4;4;6;4;2;2;2;2;1;1;4;4;4;5;12;12;3;3;2;4;4;4;4;4;99;99;99;5;4;3;3;4;4;1;1;3;4;1;4;1;1,15080847622074
2275;706;3;2;3;902;2;75;5;2;4;2;2;8;2;99;99;99;99;1;2;3;3;2;1;4;4;2;2;12;5;1;2;4;10;1;10;10;6;0;4;2;2;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;6;4;6;4;6;99;99;99;4;4;3;3;4;2;1;2;5;4;2;1;4;1,02639090634417
2276;106;3;2;3;45;1;84;5;4;4;4;4;7;11;2;99;99;99;2;2;3;3;3;3;1;4;1;2;13;5;15;2;7;10;8;8;8;5;0;0;0;5;0;2;1;2;2;1;1;11;12;5;5;12;12;3;2;2;5;4;11;4;5;16;6;99;5;5;4;3;4;5;2;2;5;4;1;1;4;1,02639090634417
2277;16;3;2;3;999;2;44;1;4;4;3;4;4;13;18;23;98;99;3;2;2;1;1;2;2;4;3;4;14;5;9;7;6;3;8;8;8;0;0;0;0;0;0;2;1;1;1;1;1;0;12;12;12;12;12;3;3;1;5;0;2;0;0;6;9;99;0;8;1;3;2;4;2;7;2;4;2;2;4;1,98362252182659
2278;190;3;1;1;69;2;61;1;3;4;3;3;1;2;8;31;99;99;3;2;3;4;2;3;3;3;1;4;14;5;2;7;6;3;2;4;10;4;8;3;2;0;0;2;2;2;2;1;1;5;8;3;0;12;12;3;4;1;4;5;3;4;2;9;99;99;0;10;1;1;1;2;3;7;3;4;2;4;1;,704786608069506
2279;911;3;1;3;999;2;22;1;2;2;2;2;99;99;99;99;99;99;1;1;3;1;1;2;2;3;5;5;14;5;12;10;10;10;5;10;10;10;6;9;10;10;9;1;1;1;1;1;1;12;12;12;12;12;12;1;1;2;10;10;10;9;10;99;99;99;5;8;3;1;1;2;1;8;7;2;2;4;1;1,98362252182659
2280;109;3;2;3;69;2;65;1;2;3;2;2;1;99;99;16;1;99;2;2;3;2;1;2;4;3;1;1;12;5;6;7;2;4;1;3;6;6;0;4;1;6;1;2;2;2;2;1;1;6;5;6;6;12;12;3;3;3;6;6;6;4;4;16;4;99;5;4;3;2;3;5;2;7;2;4;1;1;4;,670823249215344
2281;356;3;2;3;69;2;58;6;3;4;2;2;1;6;11;2;6;11;1;2;3;3;1;2;3;4;2;1;12;5;15;7;6;10;4;3;10;2;5;5;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;4;3;3;5;5;5;0;0;99;99;99;5;0;3;4;4;6;2;5;3;4;4;2;4;,867854882440045
2282;337;3;2;3;999;1;63;5;2;3;2;2;1;4;99;34;99;99;1;2;3;2;1;2;1;2;1;1;2;1;2;6;7;10;1;5;10;8;10;6;7;0;0;2;2;2;2;1;1;8;9;6;0;12;12;2;2;2;8;8;8;7;9;1;8;16;0;10;1;2;1;2;1;6;3;4;1;1;4;,704786608069506
2283;706;3;2;1;69;1;47;1;2;2;2;5;5;99;99;99;99;99;2;2;2;1;2;2;2;2;1;1;1;1;1;6;7;10;2;10;10;10;7;5;4;0;5;2;2;2;2;1;1;8;7;7;1;12;12;2;2;2;8;8;8;7;8;99;99;99;11;11;2;2;1;6;2;2;3;4;1;2;4;,59467379483113
2284;148;3;2;3;63;1;71;1;2;4;2;3;10;10;99;8;13;10;1;3;2;2;1;2;1;2;1;1;12;5;1;7;6;5;2;1;10;6;7;5;3;0;0;2;1;1;1;1;1;6;12;12;12;12;12;2;2;2;6;8;6;3;6;4;9;16;7;11;2;3;3;4;3;7;5;4;1;2;4;,598298411061412
2285;647;3;2;1;17;2;42;1;3;4;2;3;5;6;1;8;7;6;1;1;3;1;2;2;1;1;1;1;10;5;1;3;4;5;10;10;10;5;5;0;0;0;7;2;1;2;1;1;1;5;12;5;12;12;12;3;3;3;5;0;8;0;0;99;99;99;5;8;2;3;1;4;2;6;3;4;2;2;4;,59467379483113
2286;106;3;2;1;76;1;46;1;2;4;2;2;1;19;99;35;99;99;1;2;3;2;1;2;1;4;2;1;2;1;2;7;6;3;4;5;10;4;7;1;5;0;0;2;2;2;2;1;1;5;6;1;3;12;12;2;2;2;5;5;7;2;4;6;6;12;3;8;1;1;1;3;2;2;3;4;1;2;4;,704786608069506
2287;911;3;1;3;69;1;54;1;2;3;2;3;1;7;99;99;99;99;2;2;3;2;2;2;2;2;1;1;2;2;2;6;7;4;1;10;10;8;9;4;0;0;0;2;2;2;2;1;1;8;9;4;0;12;12;2;1;2;7;8;7;6;7;8;1;99;5;10;2;1;2;4;1;2;3;4;1;4;1;,704786608069506
2288;109;3;2;3;69;1;43;2;5;5;2;2;11;2;6;2;1;6;4;2;1;4;1;1;3;4;3;1;12;5;12;7;6;1;3;10;10;0;0;1;1;1;1;1;1;1;1;1;1;12;12;12;12;12;12;6;1;1;9;9;8;9;10;99;99;99;5;10;2;1;4;3;3;4;7;1;1;1;4;3,4236788903746
2289;337;3;1;1;17;2;25;1;2;3;2;2;2;13;1;1;2;2;2;2;3;2;2;2;1;2;1;1;2;1;2;6;7;3;5;4;1;6;8;3;6;0;0;2;2;2;2;2;2;5;9;1;1;5;0;3;3;3;5;5;3;6;3;8;6;2;2;9;1;1;1;5;2;6;3;4;2;4;1;,704786608069506
2290;148;3;1;3;45;2;78;5;3;3;3;3;11;8;98;6;98;99;2;3;3;3;4;2;3;4;1;2;3;2;3;6;1;10;8;8;8;5;0;7;0;4;0;2;1;2;1;1;1;6;12;5;12;12;12;3;2;4;4;7;6;6;6;98;99;99;7;8;5;3;5;5;3;6;3;4;2;4;1;,867854882440045
2291;706;3;2;3;71;1;32;1;4;4;3;4;4;5;99;6;10;99;1;2;3;2;2;4;1;3;2;1;3;3;9;6;7;4;1;10;10;4;3;5;0;0;0;1;1;1;1;2;1;12;12;12;12;6;12;3;2;3;4;0;4;7;2;99;99;99;5;5;3;2;2;3;3;6;4;4;1;2;4;1,98362252182659
2292;16;3;1;3;30;2;61;1;2;3;2;3;16;1;99;16;6;1;2;2;3;2;2;2;2;3;1;1;12;5;3;6;7;10;3;1;10;7;6;8;4;0;0;2;2;1;1;1;1;7;6;12;12;12;12;3;3;3;6;6;6;4;6;99;99;99;8;6;3;3;3;5;2;2;3;4;2;4;1;,505885422392527
2293;911;3;1;3;36;2;55;1;2;3;2;2;8;13;2;31;1;2;2;2;3;2;2;2;2;3;2;6;1;2;1;7;10;10;2;10;10;8;6;6;2;4;0;2;1;2;1;2;1;5;12;6;12;5;12;2;2;2;6;7;8;5;7;8;13;1;4;7;3;2;2;2;2;2;7;1;2;4;1;,59467379483113
2294;190;3;2;3;999;2;64;1;2;3;2;3;11;29;21;8;13;15;3;3;2;2;1;3;3;2;1;1;2;2;4;7;6;3;4;10;10;3;8;3;5;0;0;2;2;1;2;1;1;4;4;12;4;12;12;3;3;1;7;4;5;3;4;6;12;98;4;5;2;2;3;4;3;6;3;4;2;1;4;,38284419294449
2295;106;3;2;3;999;2;39;3;1;1;1;3;2;2;13;99;99;99;3;4;2;1;2;1;2;1;4;1;3;1;12;7;10;10;2;10;10;10;10;10;11;0;0;2;1;2;1;1;2;10;12;10;12;12;10;3;2;1;10;10;0;0;10;99;99;99;5;11;3;1;3;2;3;3;7;1;2;2;4;1,99571296611699
2296;337;3;1;3;69;2;70;5;2;3;2;2;5;30;1;6;7;99;5;2;3;4;2;2;3;2;1;1;1;2;3;7;6;10;4;3;5;8;3;8;6;0;0;2;1;1;1;1;1;7;12;12;12;12;12;2;2;2;8;8;8;6;6;8;16;13;5;5;3;3;4;2;2;2;5;4;2;4;1;,867854882440045
2297;109;3;2;3;69;2;31;4;2;3;2;3;1;2;16;16;1;99;3;3;2;1;2;2;2;3;1;2;12;5;8;7;1;10;5;10;10;2;4;7;8;4;0;2;1;2;1;1;1;5;12;4;12;12;12;3;4;2;6;6;5;4;6;30;99;99;2;4;3;3;3;5;3;6;4;4;2;2;4;,673656826769382
2298;71;3;1;3;18;2;65;1;2;3;2;2;99;99;99;99;99;99;2;2;3;2;2;2;2;3;1;1;13;5;15;7;10;10;2;1;10;5;5;5;5;0;0;2;2;2;1;2;1;7;7;7;12;11;12;2;1;2;8;7;8;7;7;99;99;99;5;6;2;1;1;5;2;2;3;4;2;4;1;,704786608069506
2299;650;3;2;3;69;2;35;1;4;4;3;4;5;6;1;1;2;6;2;4;2;3;2;3;1;4;1;1;12;5;2;7;6;3;2;4;10;2;3;2;0;0;0;2;1;1;1;1;1;4;12;12;12;12;12;5;3;1;3;2;4;0;0;9;9;99;5;5;2;2;3;3;3;7;3;4;2;2;4;,709082376607986
2300;706;3;2;1;69;1;27;1;3;3;3;3;6;4;99;1;6;2;2;3;2;1;2;3;3;1;1;1;2;2;2;7;3;6;8;8;8;4;8;0;0;0;0;2;2;2;2;1;1;3;3;0;0;12;12;3;4;3;6;6;7;4;3;8;4;98;1;10;1;1;1;4;3;7;4;4;1;2;4;,704786608069506
2301;356;3;1;3;45;2;61;1;2;3;2;2;1;8;7;8;7;1;1;2;3;2;2;2;2;2;1;1;12;5;15;6;7;2;3;5;1;6;3;6;6;0;0;2;1;1;1;1;1;5;12;12;12;12;12;3;4;1;4;5;5;0;3;99;99;99;5;5;3;3;3;5;1;6;3;4;2;4;1;,505885422392527
2302;911;3;1;3;32;2;90;5;5;3;3;5;2;1;99;99;99;99;2;2;3;2;1;2;4;4;1;1;12;5;14;6;10;10;1;10;10;11;11;11;11;11;11;2;1;2;1;1;1;11;12;11;12;12;12;6;4;2;11;11;11;11;11;99;99;99;11;11;6;4;1;2;3;1;3;4;2;4;2;,59467379483113
2303;71;3;1;3;30;1;68;5;2;4;2;2;1;99;99;7;99;99;2;2;3;2;2;2;4;1;1;1;3;2;3;7;6;10;5;10;10;5;5;8;8;0;0;2;2;2;2;1;1;6;4;7;2;12;12;2;4;5;6;8;6;4;6;8;99;99;3;0;3;3;2;3;1;6;3;4;1;4;1;,502820663271048
2304;16;3;1;1;999;2;70;5;2;4;2;3;1;2;5;99;99;99;1;2;3;1;1;2;3;3;1;1;1;2;1;6;7;4;2;5;10;8;8;5;7;0;0;2;2;2;2;2;1;7;7;6;4;5;12;2;2;2;6;7;6;5;5;1;12;99;5;7;2;2;1;2;2;1;3;4;2;4;1;,59467379483113
2305;71;3;1;3;71;1;45;1;2;4;2;2;25;15;8;8;99;99;2;2;3;2;2;2;3;2;1;1;2;2;2;7;6;10;3;4;10;5;7;5;7;0;0;2;2;2;2;1;2;5;6;6;1;12;0;3;2;3;3;4;7;0;3;16;8;12;3;6;1;3;1;5;2;2;3;4;1;4;1;,704786608069506
2306;337;3;2;3;999;2;43;1;4;4;2;3;5;8;6;6;5;8;3;1;3;3;3;3;1;3;1;1;12;5;2;4;7;3;2;1;10;5;6;0;0;0;0;2;1;2;1;1;1;5;12;6;12;12;12;3;3;3;5;6;5;5;6;9;99;99;6;7;2;3;2;4;1;6;3;4;2;2;4;,704786608069506
2307;148;3;2;3;69;1;32;1;2;3;2;3;2;1;99;1;9;8;2;2;3;1;2;2;1;1;1;1;7;2;6;5;3;2;1;6;10;5;4;4;3;5;8;2;1;2;2;1;2;7;12;5;6;12;5;3;2;2;6;5;8;3;4;6;10;35;7;0;3;3;4;5;2;1;5;4;1;2;4;1,15080847622074
2308;706;3;2;3;77;1;50;1;3;4;2;4;1;8;99;8;99;99;1;2;3;2;1;3;3;2;2;1;2;1;2;6;7;10;8;8;8;0;10;2;5;0;0;2;2;2;2;1;1;2;10;0;0;12;12;4;3;3;0;5;5;0;0;99;99;99;0;5;1;2;5;2;3;6;5;4;1;2;4;1,21644264758818
2309;650;3;1;1;55;1;20;1;2;4;2;3;7;98;99;2;1;99;5;2;3;1;2;2;2;3;2;4;14;5;1;7;6;10;1;2;10;8;7;11;4;3;0;2;2;2;1;1;1;11;11;11;12;12;12;3;2;2;4;4;5;2;4;5;98;99;4;6;2;2;1;4;2;7;3;4;1;4;1;,59467379483113
