elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
105;147;1;1;3;59;1;56;1;8;8;7;8;5;4;4;1;2;8;31;99;99;1;2;1;1;7;5;3;3;8;8;10;10;10;1;1;3;2;2;2;1;1;12;5;1;7;6;2;1;3;10;6;0;6;2;4;0;2;2;2;2;2;2;6;0;6;3;2;2;5;5;3;2;4;4;2;5;4;,394361705720365;3
106;25;1;2;1;2;2;45;1;8;8;6;11;5;5;6;6;1;99;2;99;99;2;2;2;1;6;5;4;0;8;11;6;6;11;2;2;2;2;2;3;1;2;1;2;1;7;6;5;2;10;10;8;5;5;4;2;0;2;2;2;1;1;1;7;5;5;12;12;12;5;8;2;1;1;5;2;2;4;,252399479425255;2
107;470;1;1;3;59;1;45;1;6;6;7;7;4;4;4;99;99;99;9;9;9;3;3;1;2;5;11;5;5;8;4;10;10;10;3;4;4;4;4;4;3;4;14;5;1;4;6;10;2;1;10;7;5;5;0;3;3;1;1;1;1;1;1;12;12;12;12;12;12;5;5;6;2;5;3;3;1;4;,394361705720365;3
108;336;1;1;3;59;2;71;5;5;11;4;4;5;5;6;2;10;99;31;2;31;2;2;4;4;6;5;5;5;8;5;6;6;6;2;3;2;2;2;4;1;1;12;5;1;4;5;10;1;6;10;6;3;6;3;5;5;2;1;1;1;1;1;7;12;12;12;12;12;5;2;3;3;4;2;3;5;4;,394361705720365;3
109;944;1;1;3;59;2;82;5;6;6;7;8;0;0;6;13;8;99;15;9;9;3;1;1;4;5;4;0;0;6;11;11;6;5;4;4;4;4;2;4;1;1;1;1;1;5;7;3;8;8;8;8;0;0;0;0;0;2;1;1;2;1;1;8;12;12;0;12;12;5;9;3;3;5;4;2;1;4;,394361705720365;3
110;44;1;1;3;999;1;46;1;8;8;6;7;5;6;4;6;1;8;6;8;99;2;2;3;1;8;4;5;3;9;9;9;9;9;2;2;3;1;1;2;1;2;13;5;15;7;10;10;10;10;10;6;5;5;4;5;3;2;1;1;1;1;1;7;12;12;12;12;12;5;7;2;2;3;4;3;1;4;,263373205873897;1
111;349;1;2;3;59;2;44;1;6;6;5;5;5;5;5;1;2;7;1;8;99;3;1;3;1;5;4;0;0;10;10;10;10;10;2;2;2;2;2;2;1;1;3;3;3;7;2;10;4;10;10;3;3;7;7;3;2;2;2;2;2;1;1;5;6;5;3;12;12;3;0;4;3;3;5;2;5;4;,297840399135974;3
112;147;1;2;3;59;2;44;1;6;6;6;5;5;4;7;2;1;7;6;31;2;3;5;3;1;8;6;0;8;9;9;10;10;10;3;3;4;1;2;2;1;2;13;5;15;7;10;10;1;10;10;4;4;4;4;0;0;1;1;1;1;1;1;12;12;12;12;12;12;11;6;6;2;1;2;3;1;4;,252399479425255;3
113;445;1;2;3;59;2;48;1;7;8;8;8;6;7;7;1;2;2;99;99;99;1;2;2;1;9;7;5;4;7;8;8;8;8;1;1;2;2;2;2;4;1;3;1;12;7;10;10;1;10;10;7;5;7;5;5;1;2;1;1;1;2;1;7;12;12;12;6;12;4;3;3;2;4;5;1;7;1;1,69586410136416;3
114;525;1;2;3;59;1;51;1;7;7;6;6;5;4;3;1;2;6;99;99;99;1;2;1;2;7;3;1;1;3;1;10;5;3;2;2;3;2;3;3;1;1;3;3;1;7;6;10;1;4;5;6;4;7;5;2;0;2;1;1;2;1;1;7;12;12;6;12;12;3;2;3;3;3;3;2;1;4;,263373205873897;3
115;717;1;1;3;59;2;30;1;6;8;7;8;5;5;7;2;1;99;1;99;99;2;2;2;1;6;10;0;1;8;7;10;8;8;2;2;2;1;1;1;1;1;1;2;1;6;7;10;3;4;5;8;6;7;8;0;0;2;2;1;2;2;2;7;5;12;2;6;6;3;7;2;2;1;4;2;1;4;,252399479425255;3
116;606;1;2;3;59;2;41;1;7;7;8;11;6;5;3;5;7;99;99;99;99;2;1;1;2;1;7;0;3;6;11;10;8;7;1;3;4;3;3;3;2;6;12;5;9;6;7;10;2;3;4;4;4;4;5;0;0;2;1;1;1;1;1;8;12;12;12;12;12;2;8;2;3;1;3;2;1;4;1,08538737446228;3
117;984;1;1;3;999;2;64;1;8;10;5;6;3;5;5;2;10;8;11;26;9;1;2;3;2;7;6;0;0;8;11;8;8;8;3;4;3;3;2;2;2;6;12;5;9;7;2;10;10;10;10;5;4;5;5;4;3;2;1;1;2;1;1;6;12;12;5;12;12;4;3;3;3;4;5;2;2;4;1,69586410136416;1
118;336;1;2;3;59;1;74;5;8;7;8;7;6;6;5;1;1;2;31;15;15;2;2;1;1;7;7;6;6;9;9;10;10;10;2;2;2;2;2;3;1;1;1;1;1;7;6;5;2;3;10;10;8;5;2;1;0;2;2;2;2;1;1;9;8;7;5;12;12;7;8;2;2;3;4;1;1;4;,263373205873897;3
119;470;1;1;3;999;1;70;5;7;7;6;4;4;6;4;1;7;4;2;22;99;2;2;1;4;10;5;0;0;10;7;8;4;8;3;4;2;1;1;1;1;1;13;5;15;6;7;10;1;2;4;4;6;5;7;2;0;2;2;2;2;2;2;8;7;4;4;4;2;5;8;2;2;2;2;1;2;4;,393478332779262;1
120;6;1;2;3;59;1;53;1;5;6;5;6;5;6;3;2;1;23;2;6;7;3;3;2;2;7;2;6;3;8;9;8;8;7;2;2;2;2;1;2;1;1;12;5;6;4;2;7;1;6;10;7;2;5;3;7;3;2;1;1;2;2;1;7;12;12;7;5;12;5;0;3;3;4;2;3;1;4;,949777655579043;3
121;813;1;2;3;59;2;62;2;8;8;3;1;0;0;5;1;2;5;2;99;99;3;2;3;1;5;5;0;3;10;10;7;7;8;2;4;4;1;1;1;1;1;2;1;14;7;4;3;1;10;10;6;8;2;0;0;0;2;2;2;2;1;1;5;11;5;2;12;12;4;0;1;1;1;3;2;3;4;,393478332779262;3
122;25;1;1;3;59;1;49;1;7;7;6;6;4;3;3;5;8;9;9;8;99;3;3;3;2;6;9;1;4;9;9;9;9;9;2;5;2;2;1;2;2;2;2;2;2;7;6;10;3;4;10;4;8;6;3;2;0;2;2;2;2;1;1;5;7;5;1;12;12;7;8;2;2;3;2;3;1;4;,410585830771016;3
123;349;1;2;1;59;2;53;4;6;8;6;6;5;5;7;2;8;99;2;2;31;2;2;1;1;6;1;0;0;9;4;9;9;9;2;3;3;1;2;3;1;1;13;5;15;7;6;10;10;10;10;11;11;11;11;11;11;2;2;2;2;1;2;6;6;6;5;12;0;11;8;2;4;1;5;2;1;4;,285430560198002;3
124;574;1;1;3;59;2;85;5;6;11;8;11;8;11;8;8;99;99;6;99;99;1;1;4;4;8;0;0;0;5;4;5;4;8;1;4;3;3;2;2;1;1;1;1;1;7;6;4;2;3;10;9;9;8;7;0;0;1;1;1;1;1;1;12;12;12;12;12;12;11;10;2;3;3;2;2;5;4;,263373205873897;3
125;612;1;1;3;2;2;42;1;7;7;6;5;4;4;6;1;2;7;23;99;99;2;3;1;1;3;0;0;0;8;8;8;7;7;4;4;2;2;2;2;1;1;2;1;2;7;6;10;8;8;8;2;8;0;2;0;0;2;2;1;1;1;1;3;3;12;12;12;12;2;2;2;1;3;3;2;2;4;,410585830771016;2
